"","Fold Change","log2(FC)"
"0.617/577.06968",0.083586,-3.5806
"0.908/397.08777",11.954,3.5794
"2.739/631.38389",0.083731,-3.5781
"0.744/149.02731",0.084137,-3.5711
"2.130/702.23356",0.084628,-3.5627
"4.822/837.48254",11.798,3.5605
"2.134/449.09566",0.084975,-3.5568
"2.778/363.17737",11.612,3.5375
"2.123/620.70680",0.086208,-3.536
"2.187/456.20849",11.58,3.5336
"0.769/718.23517",0.086385,-3.5331
"0.769/161.04676",0.086394,-3.5329
"1.061/166.05175",11.549,3.5297
"2.235/373.20729",0.08684,-3.5255
"0.724/531.09986",11.438,3.5157
"0.774/613.07049",0.087463,-3.5152
"2.243/647.30670",0.08754,-3.5139
"2.740/763.07280",11.393,3.51
"2.278/381.17573",0.087857,-3.5087
"1.042/274.03840",11.381,3.5085
"0.460/282.95252",11.36,3.5059
"0.741/937.17517",0.08831,-3.5013
"2.740/896.91903",11.321,3.5009
"2.282/445.26530",11.304,3.4988
"0.735/290.03378",0.088585,-3.4968
"0.697/280.04247",0.088851,-3.4925
"2.696/792.39241",11.201,3.4855
"2.657/426.19397",0.089333,-3.4847
"0.979/340.12523",0.089346,-3.4844
"0.811/381.12163",0.089424,-3.4832
"2.110/325.71744",0.089545,-3.4812
"2.219/366.13842",11.125,3.4758
"2.163/355.19708",0.089889,-3.4757
"2.221/524.23383",11.11,3.4738
"0.644/523.10151",0.090085,-3.4726
"0.731/812.14293",11.098,3.4722
"2.739/763.21953",11.079,3.4698
"2.148/385.25305",0.090647,-3.4636
"2.148/572.16033",0.090981,-3.4583
"0.761/566.15639",0.091046,-3.4573
"0.813/135.99752",0.091181,-3.4551
"2.759/349.13242",10.889,3.4448
"0.460/534.76343",0.092091,-3.4408
"2.404/489.23545",0.092347,-3.4368
"2.652/879.42475",10.783,3.4307
"2.102/483.12340",0.092845,-3.429
"0.902/452.09206",0.093217,-3.4233
"1.044/444.19205",10.666,3.415
"0.460/184.98555",10.645,3.4121
"1.425/703.18749",0.093963,-3.4118
"2.154/558.28911",0.094202,-3.4081
"2.180/322.14101",10.605,3.4067
"2.220/727.36436",10.546,3.3986
"2.109/500.06825",0.094888,-3.3976
"2.361/253.02891",10.512,3.3939
"2.504/564.27231",0.09536,-3.3905
"0.782/586.19253",0.095913,-3.3821
"2.147/559.19529",0.096075,-3.3797
"2.169/397.18398",0.096207,-3.3777
"2.187/274.03936",10.383,3.3762
"3.107/201.14931",0.096465,-3.3739
"2.164/514.26234",10.323,3.3678
"0.980/612.10183",0.097006,-3.3658
"2.749/558.30036",10.301,3.3647
"2.134/383.16854",10.29,3.3632
"0.730/834.11964",10.283,3.3622
"1.526/295.05178",0.09738,-3.3602
"2.349/431.18443",0.097562,-3.3575
"2.099/403.12248",0.097751,-3.3547
"2.274/197.07555",0.097979,-3.3514
"0.825/414.18333",0.098324,-3.3463
"2.124/525.23079",0.098404,-3.3451
"0.560/225.01980",0.099044,-3.3358
"0.781/148.06341",0.099233,-3.333
"2.145/574.27383",10.032,3.3265
"2.704/1147.74149",10.009,3.3232
"2.235/304.04892",9.984,3.3196
"2.241/414.23422",0.10021,-3.3188
"2.101/415.01685",9.9442,3.3139
"2.355/491.28790",9.9362,3.3127
"0.577/158.05909",0.10074,-3.3113
"0.581/264.93418",0.10108,-3.3064
"2.266/443.70775",9.8862,3.3054
"0.565/142.99856",9.8711,3.3032
"0.644/539.07673",0.10131,-3.3031
"0.632/302.03302",0.10163,-3.2986
"2.291/279.14538",0.10188,-3.295
"2.130/348.15923",0.10226,-3.2896
"0.634/181.99518",9.7444,3.2846
"1.265/397.13572",0.10288,-3.281
"0.683/461.97081",0.10324,-3.2759
"2.244/515.28710",9.6843,3.2757
"0.785/369.04750",9.6345,3.2682
"0.667/775.10770",9.596,3.2624
"0.745/547.07410",0.10453,-3.258
"0.978/243.16339",9.5321,3.2528
"2.314/372.21105",0.10554,-3.2441
"0.742/276.13965",0.10599,-3.238
"2.119/302.17185",0.10612,-3.2363
"0.681/322.08127",0.10617,-3.2355
"0.460/696.87987",0.10624,-3.2346
"2.251/788.38014",0.10663,-3.2293
"0.736/487.18292",0.10667,-3.2288
"0.990/587.21892",0.10671,-3.2283
"2.135/662.24178",9.3696,3.228
"2.996/164.07171",0.107,-3.2243
"2.185/586.28363",9.3092,3.2187
"2.305/458.24325",0.10743,-3.2185
"0.584/226.97844",0.10748,-3.2179
"0.568/362.04894",9.2952,3.2165
"2.698/376.71693",9.2853,3.215
"0.452/946.09441",9.2859,3.215
"2.137/524.08913",0.10771,-3.2148
"0.775/634.25587",0.10812,-3.2094
"2.143/517.26241",0.10814,-3.209
"2.704/355.18717",9.2378,3.2076
"2.366/300.19271",0.10826,-3.2074
"2.228/692.83940",9.2239,3.2054
"2.148/557.19881",0.10849,-3.2044
"0.585/392.90206",0.10883,-3.1999
"1.039/643.33371",9.1775,3.1981
"0.789/279.11662",0.10949,-3.1912
"0.453/368.80461",0.10949,-3.1912
"1.252/346.05405",0.10962,-3.1894
"2.157/352.14987",9.0701,3.1811
"0.568/116.97180",0.11055,-3.1773
"0.460/452.78273",0.11059,-3.1768
"2.773/548.27926",9.0328,3.1752
"2.336/425.20208",0.11091,-3.1725
"0.679/486.01140",0.11147,-3.1653
"1.042/627.35733",8.9544,3.1626
"0.738/334.05447",0.11168,-3.1625
"0.739/483.11754",0.11179,-3.1612
"0.594/297.07442",0.11215,-3.1565
"2.311/768.26471",8.865,3.1481
"2.135/414.24157",8.8339,3.143
"2.740/1084.29566",8.832,3.1427
"0.982/844.28000",8.8241,3.1414
"2.151/258.09181",0.11445,-3.1272
"0.737/496.21450",8.7342,3.1267
"2.740/1075.90528",8.7083,3.1224
"2.706/814.39037",8.7078,3.1223
"0.681/523.97411",0.11494,-3.121
"0.744/684.23562",0.11546,-3.1145
"0.664/704.10817",8.6566,3.1138
