AnalysisMode	Contrast	plotContrast	Metabolite	Ratio_Change	FoldChange	pValue	padj	Regulation
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.565/459.09064	0.3765375198432065	-1.409134466391806	0.02122448979591837	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.385/460.20371	4.195006998923068	2.0686732176503617	0.004081632653061225	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.719/461.12550	2.825569105463082	1.4985414738780118	0.011564625850340135	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.302/462.23535	0.46640396628721986	-1.100348037655616	0.049523809523809526	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.480/463.66880	0.2668254108103821	-1.9060320284232266	0.009659863945578231	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.284/466.16960	2.8177350218697033	1.4945359478403188	0.015918367346938776	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.046/466.18729	2.8636169310684823	1.5178385147353552	0.013605442176870748	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.402/468.71124	0.2578382198531136	-1.9554619618874691	0.007755102040816327	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.036/471.21073	3.1510804721896424	1.655846598324502	0.0069387755102040816	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.047/474.08980	2.80984874996284	1.4904924743781092	0.015374149659863945	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.432/474.22062	0.2957729020083408	-1.757438212595699	0.007210884353741497	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.741/480.25251	2.7549275999500114	1.4620144049795305	0.015510204081632653	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.798/485.25893	3.710868639605273	1.891756932228036	0.005578231292517007	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.049/487.19076	2.762841480298818	1.4661527890243002	0.013333333333333334	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.135/489.16146	3.2404650894675937	1.6962008915403386	0.012244897959183673	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.144/494.02553	2.841153668369502	1.506476864121296	0.039863945578231294	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.128/494.16422	0.3011422952283852	-1.7314827470672245	0.0236734693877551	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.046/495.16279	2.520567854428407	1.333748792645113	0.01850340136054422	0	Up-regulated
