Metabolite Clone1 Clone2 log2FC plotContrast
0.860/68.04858 AC9.1 AC9.3 0.5889 "AC9.1 vs AC9.3"
0.860/68.04858 AC9.2 AC9.3 -0.49637 "AC9.2 vs AC9.3"
0.860/68.04858 AC9.1 AC9.2 1.0853 "AC9.1 vs AC9.2"
0.623/68.98231 AC9.1 E30 -0.21143 "AC9.1 vs E30"
0.623/68.98231 AC9.2 E30 -0.24409 "AC9.2 vs E30"
0.623/68.98231 AC9.3 E30 0.040605 "AC9.3 vs E30"
0.623/68.98231 AC9.1 AC9.3 -0.25203 "AC9.1 vs AC9.3"
0.623/68.98231 AC9.2 AC9.3 -0.2847 "AC9.2 vs AC9.3"
0.623/68.98231 AC9.1 AC9.2 0.032664 "AC9.1 vs AC9.2"
1.075/68.99689 AC9.1 E30 0.18866 "AC9.1 vs E30"
1.075/68.99689 AC9.2 E30 0.29354 "AC9.2 vs E30"
1.075/68.99689 AC9.3 E30 0.31976 "AC9.3 vs E30"
1.075/68.99689 AC9.1 AC9.3 -0.1311 "AC9.1 vs AC9.3"
1.075/68.99689 AC9.2 AC9.3 -0.026223 "AC9.2 vs AC9.3"
1.075/68.99689 AC9.1 AC9.2 -0.10487 "AC9.1 vs AC9.2"
0.830/68.99712 AC9.1 E30 0.61992 "AC9.1 vs E30"
0.830/68.99712 AC9.2 E30 0.62665 "AC9.2 vs E30"
0.830/68.99712 AC9.3 E30 -0.033048 "AC9.3 vs E30"
0.830/68.99712 AC9.1 AC9.3 0.65297 "AC9.1 vs AC9.3"
0.830/68.99712 AC9.2 AC9.3 0.6597 "AC9.2 vs AC9.3"
0.830/68.99712 AC9.1 AC9.2 -0.0067262 "AC9.1 vs AC9.2"
1.595/69.06922 AC9.1 E30 0.87612 "AC9.1 vs E30"
1.595/69.06922 AC9.2 E30 0.69534 "AC9.2 vs E30"
1.595/69.06922 AC9.3 E30 0.78186 "AC9.3 vs E30"
1.595/69.06922 AC9.1 AC9.3 0.094259 "AC9.1 vs AC9.3"
1.595/69.06922 AC9.2 AC9.3 -0.086522 "AC9.2 vs AC9.3"
1.595/69.06922 AC9.1 AC9.2 0.18078 "AC9.1 vs AC9.2"
1.334/69.06961 AC9.1 E30 -0.072252 "AC9.1 vs E30"
1.334/69.06961 AC9.2 E30 -0.07042 "AC9.2 vs E30"
1.334/69.06961 AC9.3 E30 -0.0038242 "AC9.3 vs E30"
1.334/69.06961 AC9.1 AC9.3 -0.068428 "AC9.1 vs AC9.3"
1.334/69.06961 AC9.2 AC9.3 -0.066596 "AC9.2 vs AC9.3"
1.334/69.06961 AC9.1 AC9.2 -0.0018325 "AC9.1 vs AC9.2"
1.596/70.06448 AC9.1 E30 0.95141 "AC9.1 vs E30"
1.596/70.06448 AC9.2 E30 0.55328 "AC9.2 vs E30"
1.596/70.06448 AC9.3 E30 0.68783 "AC9.3 vs E30"
1.596/70.06448 AC9.1 AC9.3 0.26358 "AC9.1 vs AC9.3"
1.596/70.06448 AC9.2 AC9.3 -0.13454 "AC9.2 vs AC9.3"
1.596/70.06448 AC9.1 AC9.2 0.39813 "AC9.1 vs AC9.2"
1.156/70.06472 AC9.1 E30 0.19778 "AC9.1 vs E30"
1.156/70.06472 AC9.2 E30 0.4529 "AC9.2 vs E30"
1.156/70.06472 AC9.3 E30 0.18991 "AC9.3 vs E30"
1.156/70.06472 AC9.1 AC9.3 0.0078636 "AC9.1 vs AC9.3"
1.156/70.06472 AC9.2 AC9.3 0.26299 "AC9.2 vs AC9.3"
1.156/70.06472 AC9.1 AC9.2 -0.25513 "AC9.1 vs AC9.2"
0.853/70.06522 AC9.1 E30 0.5796 "AC9.1 vs E30"
0.853/70.06522 AC9.2 E30 -0.88219 "AC9.2 vs E30"
0.853/70.06522 AC9.3 E30 -0.38733 "AC9.3 vs E30"
0.853/70.06522 AC9.1 AC9.3 0.96692 "AC9.1 vs AC9.3"
0.853/70.06522 AC9.2 AC9.3 -0.49487 "AC9.2 vs AC9.3"
0.853/70.06522 AC9.1 AC9.2 1.4618 "AC9.1 vs AC9.2"
0.624/70.97956 AC9.1 E30 -0.2287 "AC9.1 vs E30"
0.624/70.97956 AC9.2 E30 -0.15027 "AC9.2 vs E30"
0.624/70.97956 AC9.3 E30 0.066484 "AC9.3 vs E30"
0.624/70.97956 AC9.1 AC9.3 -0.29519 "AC9.1 vs AC9.3"
0.624/70.97956 AC9.2 AC9.3 -0.21675 "AC9.2 vs AC9.3"
0.624/70.97956 AC9.1 AC9.2 -0.078438 "AC9.1 vs AC9.2"
0.969/72.08026 AC9.1 E30 -0.24259 "AC9.1 vs E30"
0.969/72.08026 AC9.2 E30 -0.14559 "AC9.2 vs E30"
0.969/72.08026 AC9.3 E30 0.46892 "AC9.3 vs E30"
0.969/72.08026 AC9.1 AC9.3 -0.71151 "AC9.1 vs AC9.3"
0.969/72.08026 AC9.2 AC9.3 -0.61451 "AC9.2 vs AC9.3"
0.969/72.08026 AC9.1 AC9.2 -0.097005 "AC9.1 vs AC9.2"
0.897/72.08058 AC9.1 E30 -0.43481 "AC9.1 vs E30"
0.897/72.08058 AC9.2 E30 -0.26471 "AC9.2 vs E30"
0.897/72.08058 AC9.3 E30 0.097192 "AC9.3 vs E30"
0.897/72.08058 AC9.1 AC9.3 -0.532 "AC9.1 vs AC9.3"
0.897/72.08058 AC9.2 AC9.3 -0.3619 "AC9.2 vs AC9.3"
0.897/72.08058 AC9.1 AC9.2 -0.17011 "AC9.1 vs AC9.2"
0.864/73.02834 AC9.1 E30 0.030882 "AC9.1 vs E30"
0.864/73.02834 AC9.2 E30 0.11242 "AC9.2 vs E30"
0.864/73.02834 AC9.3 E30 0.2176 "AC9.3 vs E30"
0.864/73.02834 AC9.1 AC9.3 -0.18672 "AC9.1 vs AC9.3"
0.864/73.02834 AC9.2 AC9.3 -0.10518 "AC9.2 vs AC9.3"
0.864/73.02834 AC9.1 AC9.2 -0.081543 "AC9.1 vs AC9.2"
0.642/73.53179 AC9.1 E30 -0.25311 "AC9.1 vs E30"
0.642/73.53179 AC9.2 E30 -0.074889 "AC9.2 vs E30"
0.642/73.53179 AC9.3 E30 -0.079829 "AC9.3 vs E30"
0.642/73.53179 AC9.1 AC9.3 -0.17329 "AC9.1 vs AC9.3"
0.642/73.53179 AC9.2 AC9.3 0.0049395 "AC9.2 vs AC9.3"
0.642/73.53179 AC9.1 AC9.2 -0.17823 "AC9.1 vs AC9.2"
1.237/74.05992 AC9.1 E30 -0.059323 "AC9.1 vs E30"
1.237/74.05992 AC9.2 E30 0.038539 "AC9.2 vs E30"
1.237/74.05992 AC9.3 E30 -0.34361 "AC9.3 vs E30"
1.237/74.05992 AC9.1 AC9.3 0.28429 "AC9.1 vs AC9.3"
1.237/74.05992 AC9.2 AC9.3 0.38215 "AC9.2 vs AC9.3"
1.237/74.05992 AC9.1 AC9.2 -0.097862 "AC9.1 vs AC9.2"
0.641/74.51440 AC9.1 E30 -0.064607 "AC9.1 vs E30"
0.641/74.51440 AC9.2 E30 -0.021397 "AC9.2 vs E30"
0.641/74.51440 AC9.3 E30 -0.022077 "AC9.3 vs E30"
0.641/74.51440 AC9.1 AC9.3 -0.04253 "AC9.1 vs AC9.3"
0.641/74.51440 AC9.2 AC9.3 6.8028e-4 "AC9.2 vs AC9.3"
0.641/74.51440 AC9.1 AC9.2 -0.04321 "AC9.1 vs AC9.2"
1.784/75.04370 AC9.1 E30 0.94565 "AC9.1 vs E30"
1.784/75.04370 AC9.2 E30 1.1474 "AC9.2 vs E30"
1.784/75.04370 AC9.3 E30 2.0762 "AC9.3 vs E30"
1.784/75.04370 AC9.1 AC9.3 -1.1306 "AC9.1 vs AC9.3"
1.784/75.04370 AC9.2 AC9.3 -0.92885 "AC9.2 vs AC9.3"
1.784/75.04370 AC9.1 AC9.2 -0.2017 "AC9.1 vs AC9.2"
0.810/81.08632 AC9.1 E30 -6.8906 "AC9.1 vs E30"
0.810/81.08632 AC9.2 E30 -5.9403 "AC9.2 vs E30"
0.810/81.08632 AC9.3 E30 -4.1773 "AC9.3 vs E30"
0.810/81.08632 AC9.1 AC9.3 -2.7132 "AC9.1 vs AC9.3"
0.810/81.08632 AC9.2 AC9.3 -1.763 "AC9.2 vs AC9.3"
0.810/81.08632 AC9.1 AC9.2 -0.95028 "AC9.1 vs AC9.2"
0.639/82.01354 AC9.1 E30 -0.11397 "AC9.1 vs E30"
0.639/82.01354 AC9.2 E30 -0.036098 "AC9.2 vs E30"
0.639/82.01354 AC9.3 E30 -0.0066722 "AC9.3 vs E30"
0.639/82.01354 AC9.1 AC9.3 -0.1073 "AC9.1 vs AC9.3"
0.639/82.01354 AC9.2 AC9.3 -0.029425 "AC9.2 vs AC9.3"
0.639/82.01354 AC9.1 AC9.2 -0.077872 "AC9.1 vs AC9.2"
0.828/82.06464 AC9.1 E30 0.17749 "AC9.1 vs E30"
0.828/82.06464 AC9.2 E30 -0.23078 "AC9.2 vs E30"
0.828/82.06464 AC9.3 E30 0.18885 "AC9.3 vs E30"
0.828/82.06464 AC9.1 AC9.3 -0.01136 "AC9.1 vs AC9.3"
0.828/82.06464 AC9.2 AC9.3 -0.41963 "AC9.2 vs AC9.3"
0.828/82.06464 AC9.1 AC9.2 0.40827 "AC9.1 vs AC9.2"
0.635/82.99714 AC9.1 E30 -0.084796 "AC9.1 vs E30"
0.635/82.99714 AC9.2 E30 -0.058152 "AC9.2 vs E30"
0.635/82.99714 AC9.3 E30 -0.047531 "AC9.3 vs E30"
0.635/82.99714 AC9.1 AC9.3 -0.037266 "AC9.1 vs AC9.3"
0.635/82.99714 AC9.2 AC9.3 -0.010622 "AC9.2 vs AC9.3"
0.635/82.99714 AC9.1 AC9.2 -0.026644 "AC9.1 vs AC9.2"
2.677/84.04411 AC9.1 E30 0.21905 "AC9.1 vs E30"
2.677/84.04411 AC9.2 E30 -0.11949 "AC9.2 vs E30"
2.677/84.04411 AC9.3 E30 -0.14302 "AC9.3 vs E30"
2.677/84.04411 AC9.1 AC9.3 0.36207 "AC9.1 vs AC9.3"
2.677/84.04411 AC9.2 AC9.3 0.023524 "AC9.2 vs AC9.3"
2.677/84.04411 AC9.1 AC9.2 0.33854 "AC9.1 vs AC9.2"
2.852/84.04428 AC9.1 E30 0.3996 "AC9.1 vs E30"
2.852/84.04428 AC9.2 E30 0.33589 "AC9.2 vs E30"
2.852/84.04428 AC9.3 E30 0.24293 "AC9.3 vs E30"
2.852/84.04428 AC9.1 AC9.3 0.15668 "AC9.1 vs AC9.3"
2.852/84.04428 AC9.2 AC9.3 0.092963 "AC9.2 vs AC9.3"
2.852/84.04428 AC9.1 AC9.2 0.063713 "AC9.1 vs AC9.2"
0.807/84.04434 AC9.1 E30 -0.52637 "AC9.1 vs E30"
0.807/84.04434 AC9.2 E30 -0.46373 "AC9.2 vs E30"
0.807/84.04434 AC9.3 E30 -0.33844 "AC9.3 vs E30"
0.807/84.04434 AC9.1 AC9.3 -0.18793 "AC9.1 vs AC9.3"
0.807/84.04434 AC9.2 AC9.3 -0.12529 "AC9.2 vs AC9.3"
0.807/84.04434 AC9.1 AC9.2 -0.062639 "AC9.1 vs AC9.2"
1.075/84.08086 AC9.1 E30 -0.41486 "AC9.1 vs E30"
1.075/84.08086 AC9.2 E30 -0.28306 "AC9.2 vs E30"
1.075/84.08086 AC9.3 E30 -0.08116 "AC9.3 vs E30"
1.075/84.08086 AC9.1 AC9.3 -0.3337 "AC9.1 vs AC9.3"
