"","Fold Change","log2(FC)"
"2.180/363.16659",6.8383,2.7736
"0.939/638.03142",0.14661,-2.7699
"0.673/775.04366",0.14688,-2.7672
"2.169/768.27150",6.8002,2.7656
"2.304/427.25596",6.7823,2.7618
"0.460/457.00584",6.7769,2.7606
"2.143/445.16678",0.14805,-2.7559
"0.835/724.24315",6.7483,2.7545
"0.700/304.07997",0.1508,-2.7293
"0.751/253.99921",0.15241,-2.714
"0.869/341.03829",0.1528,-2.7102
"1.036/290.03354",6.5054,2.7016
"2.740/1084.09261",6.4744,2.6947
"0.747/238.02542",0.15487,-2.6909
"1.265/403.00441",0.15523,-2.6876
"0.917/188.09313",0.15571,-2.6831
"0.631/313.10427",0.15642,-2.6765
"0.888/613.04004",0.15651,-2.6757
"0.460/415.04773",0.15724,-2.669
"0.460/115.00332",6.3405,2.6646
"0.959/795.98832",0.1586,-2.6565
"0.773/292.05054",6.2981,2.6549
"2.279/529.03011",0.15989,-2.6448
"1.345/240.00114",0.16022,-2.6419
"0.755/317.12935",0.16039,-2.6404
"0.696/274.03997",6.2298,2.6392
"0.888/684.97698",0.16101,-2.6348
"2.131/553.13828",6.1816,2.628
"0.450/299.02723",6.1387,2.6179
"0.758/300.16334",6.1359,2.6173
"1.144/376.11508",6.0728,2.6024
"0.792/438.04212",6.071,2.6019
"0.751/472.25090",6.0654,2.6006
"0.787/404.17126",6.0419,2.595
"0.954/637.96476",0.16725,-2.58
"2.152/292.16687",0.16737,-2.5789
"0.787/545.16842",5.9639,2.5762
"2.211/371.17412",5.9622,2.5758
"1.792/318.00710",5.954,2.5739
"2.445/454.26596",5.9518,2.5733
"0.776/428.27990",5.9319,2.5685
"2.703/553.26518",5.8818,2.5563
"0.822/370.14789",5.762,2.5266
"2.144/277.01552",5.3832,2.4285
"0.992/527.19632",5.2613,2.3954
"2.101/401.12551",0.19265,-2.376
"0.972/280.10544",5.0249,2.3291
"0.922/386.14831",5.0224,2.3284
"1.368/364.08631",5.004,2.3231
"1.358/485.11858",5.0005,2.3221
"0.653/842.27124",4.9771,2.3153
"0.834/186.11360",4.9367,2.3036
"2.113/886.29392",4.9125,2.2965
"2.286/468.28194",0.20379,-2.2948
"0.726/842.27150",4.8541,2.2792
"1.369/191.01903",4.4432,2.1516
"0.582/286.02651",0.22544,-2.1492
"2.652/841.46858",4.4058,2.1394
"2.508/456.28207",4.1828,2.0645
"0.751/423.02874",4.0343,2.0123
"2.645/484.31267",0.25091,-1.9948
"0.581/248.96141",0.25342,-1.9804
"0.444/390.11496",3.8896,1.9596
"2.251/514.28679",3.8583,1.948
"0.460/261.07349",3.6112,1.8525
"2.152/1061.34446",0.28481,-1.8119
"2.126/335.12942",3.5051,1.8094
"1.186/471.20877",3.4824,1.8001
"0.581/204.97078",0.2962,-1.7553
"2.148/899.29115",0.29628,-1.7549
"0.460/359.03987",3.337,1.7386
"2.149/472.24090",3.3272,1.7343
"2.311/730.31002",3.2977,1.7215
"2.150/980.31741",0.30903,-1.6942
"2.930/401.13524",3.2291,1.6912
"2.128/371.19356",3.1192,1.6412
"2.160/391.20990",3.0173,1.5932
"2.575/269.00581",2.9463,1.5589
"2.739/890.25595",2.9288,1.5503
"2.655/625.39274",2.8945,1.5333
"2.141/737.23463",0.3455,-1.5333
"2.146/818.26325",0.34784,-1.5235
"2.204/517.24516",2.8518,1.5119
"2.136/265.11981",2.7511,1.46
"0.806/517.25498",2.6569,1.4098
"2.116/864.24942",0.3768,-1.4081
"1.788/286.18827",2.6517,1.4069
"2.740/763.36150",2.6468,1.4043
"1.044/605.37203",2.6382,1.3995
"2.115/865.24501",0.39116,-1.3542
"2.116/863.24678",0.39192,-1.3514
"2.739/1068.50651",2.5474,1.349
"2.741/1076.30347",2.5454,1.3479
"2.740/1076.10273",2.5199,1.3334
"2.342/314.20835",2.4943,1.3186
"0.452/617.12336",2.4689,1.3038
"1.689/293.04219",2.4651,1.3016
"0.460/478.97692",2.4572,1.297
"0.649/483.11599",0.40853,-1.2915
"0.460/282.95252",0.41,-1.2863
"0.459/264.94302",0.41759,-1.2598
"1.292/483.11641",0.41776,-1.2592
"2.739/890.58901",2.38,1.2509
"2.701/754.43600",2.3583,1.2377
"2.173/244.02906",2.3572,1.2371
"2.125/1026.30265",0.43201,-1.2109
"0.867/483.11500",0.43381,-1.2049
"2.156/446.22456",2.286,1.1928
"0.741/969.25190",0.44084,-1.1817
"2.123/1025.30039",0.44274,-1.1755
"2.124/1027.29563",0.44603,-1.1648
"2.120/827.26751",0.44772,-1.1593
"1.679/286.18855",2.2178,1.1491
"2.124/161.04595",0.45161,-1.1469
"2.354/300.15672",0.45229,-1.1447
"2.738/1068.70782",2.1851,1.1277
"0.577/282.02760",2.1821,1.1257
"2.740/1076.70079",2.182,1.1257
"2.131/1151.37441",0.45911,-1.1231
"2.739/1076.50067",2.1767,1.1222
"0.927/274.03870",2.1752,1.1212
"1.576/645.15851",2.1704,1.118
"1.060/116.01811",2.1695,1.1174
"2.127/989.32382",0.46654,-1.0999
"0.695/318.02899",2.1431,1.0997
"2.129/1187.35231",0.46782,-1.096
"2.119/665.21638",0.47018,-1.0887
"0.591/455.10021",0.4757,-1.0719
"2.283/428.68051",2.088,1.0621
"1.144/302.18407",0.4798,-1.0595
"2.738/890.42368",2.0783,1.0554
"2.128/575.18401",0.48426,-1.0461
"0.460/184.98555",0.48861,-1.0332
"0.555/249.04359",2.0274,1.0196
"1.109/355.11634",2.0245,1.0175
"0.650/539.13572",0.49798,-1.0058
