AnalysisMode	Contrast	plotContrast	Metabolite	Ratio_Change	FoldChange	pValue	padj
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.695/141.01715	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.579/141.01717	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.867/141.01736	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.134/142.06649	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.565/142.99856	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.569/143.03504	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.123/143.03516	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.060/144.01259	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.695/144.04558	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.593/144.06695	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.125/145.06144	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.561/145.06161	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.737/145.63010	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.735/146.04552	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.552/146.04559	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.339/146.04587	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.735/146.08285	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.345/147.04559	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.637/147.06695	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.644/148.04470	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.979/148.06338	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.781/148.06341	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.198/149.04662	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.124/149.04710	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.639/150.04048	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.365/150.04147	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.814/151.02144	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.924/151.02156	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.146/151.02162	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.836/151.07670	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.047/151.11178	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.555/152.97852	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.812/153.01661	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.577/153.02826	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.785/153.03734	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.048/153.09273	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.560/153.54120	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.132/154.01724	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.727/154.01792	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.969/154.01800	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.348/154.01849	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.560/154.01880	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.692/154.04442	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.485/154.06319	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.135/155.00138	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.738/155.00170	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	6.027/155.00199	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.730/155.00213	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.938/155.00245	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.342/155.00246	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.551/155.00271	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.823/155.03198	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.552/156.99835	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.631/157.03515	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.569/157.06228	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.600/158.11845	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.819/158.11885	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.457/158.92596	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.862/159.01498	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.133/159.09318	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.585/160.06138	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.202/160.09790	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.366/160.09844	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.177/160.84167	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	3.018/160.84260	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.973/160.89713	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.577/161.04509	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.124/161.04595	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.769/161.04676	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.049/162.04230	NA	NA	NA	NA
