"","Fold Change","log2(FC)"
"4.676/429.74933",0.2148,-2.2189
"0.710/216.23345",4.5795,2.1952
"3.677/122.06984",0.21868,-2.1931
"3.685/266.11711",0.21936,-2.1886
"1.295/230.06198",4.5284,2.179
"0.635/174.18466",0.22946,-2.1237
"0.634/307.23194",0.2321,-2.1072
"0.630/610.47221",0.23215,-2.1069
"0.632/609.46870",0.23563,-2.0854
"3.671/161.16311",0.25605,-1.9655
"1.304/268.02050",3.8099,1.9297
"0.510/754.58924",0.26437,-1.9194
"1.219/599.15682",3.6853,1.8818
"5.448/216.20789",0.2761,-1.8568
"4.668/603.83122",0.27694,-1.8524
"0.639/561.46705",0.28233,-1.8245
"5.321/336.14979",3.5115,1.8121
"4.329/370.16159",3.5024,1.8083
"4.388/270.06854",0.28751,-1.7983
"0.635/543.45428",0.29969,-1.7384
"0.633/809.49067",0.30207,-1.727
"0.513/411.80749",0.30306,-1.7223
"0.510/778.58376",0.30614,-1.7077
"4.331/203.14003",0.31388,-1.6717
"5.110/230.65572",3.1691,1.6641
"0.590/631.24914",0.31595,-1.6622
"1.477/230.06208",3.0632,1.6151
"0.535/582.42329",0.32809,-1.6078
"5.379/201.63313",3.004,1.5869
"4.675/330.60299",0.3356,-1.5752
"2.348/268.02004",2.9635,1.5673
"0.527/607.31166",0.34348,-1.5417
"1.960/305.97660",2.896,1.5341
"0.516/386.79707",0.34863,-1.5202
"5.861/230.63688",2.8236,1.4975
"5.255/174.13583",2.8123,1.4918
"4.827/733.29209",0.35946,-1.4761
"5.162/261.15825",2.7681,1.4689
"1.320/212.10427",2.7541,1.4616
"2.364/190.10807",2.7261,1.4469
"0.518/387.80635",0.37538,-1.4136
"5.382/230.22502",0.38402,-1.3808
"4.717/338.18887",2.6032,1.3803
"5.060/420.26538",2.5903,1.3731
"4.415/296.10083",0.38624,-1.3724
"2.003/230.06159",2.5394,1.3445
"4.774/714.31671",0.39386,-1.3442
"1.994/268.01764",2.499,1.3214
"0.527/645.26960",0.40552,-1.3021
"0.535/697.41343",0.40824,-1.2925
"0.527/644.25980",0.41066,-1.284
"4.914/463.01281",0.4113,-1.2817
"0.527/643.25245",0.4121,-1.2789
"0.754/250.16846",2.3993,1.2626
"4.917/425.05585",0.42027,-1.2506
"0.510/400.81354",0.42254,-1.2429
"5.118/406.24903",2.3509,1.2332
"5.535/553.15946",2.3312,1.2211
"4.993/602.88263",2.3083,1.2068
"5.036/355.16246",2.2927,1.197
"2.310/558.17492",2.2449,1.1667
"0.760/176.16439",2.2132,1.1461
"5.310/215.64912",2.1927,1.1327
"4.301/190.08235",2.1839,1.1269
"4.403/326.03689",0.46283,-1.1114
"2.260/501.12070",2.151,1.105
"4.920/447.03642",0.46735,-1.0974
"2.308/143.02531",2.1363,1.0951
"2.327/305.97813",2.1361,1.095
"4.687/263.63493",0.46978,-1.09
"4.785/463.01087",0.47146,-1.0848
"4.673/714.31689",0.47447,-1.0756
"2.328/230.06102",2.0967,1.0681
"5.643/653.01621",0.47899,-1.0619
"3.673/288.05274",2.0875,1.0618
"5.166/303.18219",2.0862,1.0609
"1.323/401.28657",0.48021,-1.0583
"1.096/424.06923",2.0633,1.0449
"4.791/323.16141",2.0566,1.0402
"4.543/495.51946",0.48694,-1.0382
"0.534/489.34343",0.48722,-1.0374
"1.163/307.12888",0.49461,-1.0156
"0.619/432.24946",2.0173,1.0125
"0.519/753.50175",2.0152,1.0109
"0.678/263.19931",2.0096,1.0069
