"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"1.146/150.07705",0.035461,0.010159,0.014113,0.0040036,0.02176,-0.0023952,0.028068,-0.011329,-0.006848,5.311e-05,0.015312,-0.0021679
"0.645/150.46774",0.0093159,0.0027481,-0.012924,0.01943,0.007177,-0.00069936,0.0098813,-0.023859,0.0077421,0.013233,0.018221,0.00045332
"2.219/151.06179",-0.017414,-0.030953,-0.0062438,0.0044859,0.014696,-0.004367,-0.019788,-0.013629,0.011615,0.001228,0.01012,-0.0023067
"2.706/151.06195",0.0040858,-0.010235,0.024724,-0.02206,0.033911,0.01016,-0.010506,-0.031805,-0.016932,0.00039646,0.0012472,-0.0010576
"2.417/152.05712",-0.008989,-0.022185,0.014083,0.01408,0.0069517,0.0059099,0.0075753,0.0011435,-0.0089433,0.011086,0.00046589,-0.0040966
"0.926/156.04159",-0.0089783,0.0074859,0.0081838,0.010006,0.011492,0.0067285,-0.00018992,0.0049268,-0.016686,-0.019851,-0.0011025,0.00055515
"1.282/158.08064",0.012223,0.011062,0.0085655,0.0083887,-0.0047065,0.0062852,0.0035283,0.01369,0.009619,-0.0047124,-0.050976,0.00033862
"0.823/161.16448",0.014162,0.029294,-0.069199,0.055986,0.051287,0.094921,0.074864,-0.0055921,-0.038523,-0.034019,0.017998,0.0056013
"2.183/162.11274",0.011374,-0.056232,-0.028603,-0.024461,-0.033041,0.0020832,0.034955,-0.0072315,0.0072795,0.025747,-0.031245,0.0026776
"0.636/163.46693",0.0044914,0.0060683,-0.0056765,0.025924,-0.0019066,0.0021261,-0.013679,-0.014581,-0.020005,-0.012369,-0.052287,3.3415e-05
"2.009/164.05747",0.004911,0.018413,0.02204,-0.0023119,-0.013721,-0.0006997,-0.026246,-0.0063361,-0.0057514,0.014195,0.010301,-0.0034912
"1.373/165.05520",-0.0036354,0.0035071,0.0073147,0.017569,0.0041475,0.019694,0.031799,0.0081884,0.0088236,-0.0071222,-0.017326,0.00022245
"2.536/165.57497",-0.00089754,-0.01158,-0.0053231,0.0043242,0.023675,-0.0033696,0.037016,0.022426,0.0077664,0.035884,0.034519,0.002353
"0.813/166.05187",-0.002962,0.012585,0.013412,-0.0037131,-0.012527,-0.018612,0.0040664,0.061901,-0.02275,0.0079032,0.037987,0.00044109
