"",f.value,p.value,-log10(p),FDR,Fisher's LSD
5.923/184.07540,14.935,0.00052219,3.2822,0.0057577,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - QC; E30 - AC9.2; E30 - AC9.3; QC - AC9.3; E30 - QC
4.331/203.14003,14.882,0.00052922,3.2764,0.0057808,AC9.2 - AC9.1; AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1
1.110/217.46573,14.869,0.0005311,3.2748,0.0057808,AC9.3 - AC9.1; E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; AC9.3 - QC; E30 - QC
1.510/184.14382,14.705,0.00055391,3.2566,0.0059546,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3; E30 - QC
4.275/156.03296,14.704,0.00055408,3.2564,0.0059546,AC9.2 - AC9.1; AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1; E30 - AC9.2; E30 - AC9.3; E30 - QC
5.828/214.07201,14.653,0.00056136,3.2508,0.0059672,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - QC; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.247/87.05314,14.647,0.00056228,3.25,0.0059672,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - QC; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
5.577/581.16358,14.588,0.00057088,3.2435,0.0060208,AC9.1 - AC9.2; AC9.1 - E30; AC9.3 - AC9.2; AC9.2 - E30; AC9.3 - E30; QC - E30
4.927/429.15064,14.448,0.00059222,3.2275,0.0062074,AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3; E30 - QC
3.673/288.05274,14.407,0.00059864,3.2228,0.0062361,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; AC9.2 - AC9.3; AC9.2 - QC; E30 - AC9.3
2.240/163.11503,14.352,0.00060736,3.2166,0.0062884,AC9.1 - AC9.3; E30 - AC9.1; E30 - AC9.2; E30 - AC9.3; QC - AC9.3; E30 - QC
4.725/292.20104,14.299,0.00061592,3.2105,0.0063053,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; E30 - AC9.3; QC - AC9.3
4.918/386.73292,14.296,0.00061642,3.2101,0.0063053,AC9.2 - AC9.1; AC9.3 - AC9.1; QC - AC9.1; AC9.2 - AC9.3; AC9.2 - E30; AC9.3 - E30; QC - E30
3.677/176.01090,14.217,0.00062936,3.2011,0.0063991,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; QC - AC9.3
