Sample	QC_I	AC9.3_I	AC9.3_II	AC9.1_I	AC9.1_II	pPTGE30_I	AC9.2_I	pPTGE30_II	AC9.3_III	AC9.1_III	pPTGE30_III	AC9.2_III	AC9.2_II	QC_II
Label	QC	AC9.3	AC9.3	AC9.1	AC9.1	E30	AC9.2	E30	AC9.3	AC9.1	E30	AC9.2	AC9.2	QC
4.402/133.05846	0	1369	1445	1175	1750	2152	1768	1745	1959	2069	2542	1874	1833	0
4.249/133.06023	0	27409	22075	46714	59815	48978	41727	40092	21198	53414	37846	40693	44871	0
0.569/133.06355	0	1580	1521	1440	1191	1768	1228	1766	1068	1548	2231	1331	1321	0
0.754/133.08446	0	1742	1674	1113	1301	1238	1320	1272	3801	1824	617	1156	920	0
4.833/133.09651	0	359614	345121	334419	335202	300578	281396	281852	307413	314895	287272	274012	268845	0
2.926/134.01609	0	1394	1242	1458	1183	1262	1575	943	970	1267	1226	1226	1100	0
4.311/134.04358	0	30620	33026	30984	27905	19755	38983	19693	31656	33987	20691	34497	34948	0
3.678/134.07909	0	3530	7479	1356	1644	5367	1575	3430	7670	1936	5833	1482	1643	0
0.676/134.11029	0	1661	1575	1288	1227	1398	1355	1348	1438	1305	1461	1593	1215	0
1.977/134.11566	0	740	455	1294	745	1196	541	912	1901	877	501	448	1126	0
2.130/134.63271	0	13028	12221	12499	11551	12065	12580	11479	10999	12120	10916	11885	13143	0
2.232/134.63295	0	10318	10764	10704	10161	9357	10976	9212	9920	10259	10273	10778	10238	0
4.421/135.04534	0	6970	6516	5662	6996	5193	9399	4853	5223	6716	4863	9339	8722	0
5.210/135.04566	0	3686	3054	3223	4083	2797	2856	4666	1896	3974	2050	2312	2700	0
4.773/135.04572	0	3992	3707	3881	4892	3666	6818	2827	3760	4607	2575	6847	5456	0
6.100/135.04588	0	7040	5382	6267	7727	5462	7667	4161	5556	7398	4433	8126	7341	0
2.906/135.04592	0	7250	8620	6211	4952	5752	8335	5828	10425	6096	4495	7189	6693	0
5.327/135.04603	0	2947	2818	3019	3466	2847	3331	3203	3573	2962	2523	3325	2814	0
4.937/135.04623	0	5177	4626	5513	7545	5769	8340	4260	6108	5730	5136	8687	7393	0
3.658/135.04639	0	20406	20792	14184	16194	16641	21326	15071	17826	16273	13988	17453	19907	0
2.244/135.04681	0	2527439	2607850	2746723	2406864	2271653	2690202	2248081	2486977	2344564	2163672	2303974	2495658	0
1.683/135.04683	0	599654	678665	566197	826299	435439	462885	444459	914732	722700	539159	361778	568186	0
2.137/135.04696	0	2882434	2748504	2745910	2841088	2585751	2743781	2553326	2551766	2665321	2508490	2732189	2718031	0
0.769/135.09000	0	5609	2538	3228	3727	3350	5510	3606	1262	4092	6638	6378	3652	0
1.113/135.09034	0	3689	1850	2763	1949	2630	3343	4422	1251	3506	6155	3820	2211	0
0.621/135.11533	0	1270	1391	1289	1366	1348	764	1002	1400	1090	1088	976	2128	0
0.759/136.03803	0	1206	527	1127	1464	1273	1392	1144	195	1307	1171	1185	1151	0
2.925/136.03822	0	1532	1300	2194	1292	1778	2166	1808	1526	1458	1219	1273	1813	0
1.681/136.04922	0	25305	29512	25555	35065	22821	20017	19274	38228	32082	23286	14929	25218	0
2.235/136.04943	0	121942	95399	116789	106630	95203	108499	94794	93584	93849	83262	113551	111857	0
1.100/136.06014	0	3514	4238	4202	4175	4205	3395	3065	4278	4364	2614	2737	3831	0
5.660/136.06028	0	0	0	4308	2964	4349	2477	4596	0	3629	5605	2611	2774	0
4.305/136.06033	0	18790	19348	17933	15888	20045	19665	22650	17231	16153	21835	17897	18278	0
4.687/136.06068	0	8186	6167	6459	6577	5342	5323	5318	4996	5960	5760	5320	6181	0
5.836/136.06073	0	7189	5829	6287	5565	6621	5395	7459	5760	5946	7485	4409	4994	0
3.678/136.07449	0	3375	6284	1953	3922	4032	1512	3115	2293	3441	4294	2226	2878	0
5.235/136.10084	0	0	0	333	460	231	364	648	0	414	972	386	277	0
6.010/136.58832	0	1104	975	540	587	202	449	164	1051	642	128	357	415	0
6.262/136.92045	0	5686	6782	4886	4856	4812	4425	4291	3668	4169	4335	4041	4379	0
2.132/137.04199	0	88557	79877	86556	89898	84983	89203	77353	79563	81860	74129	83353	79424	0
1.689/137.04211	0	18260	23473	14497	27109	13176	15004	13256	29626	22825	16708	10642	18270	0
2.231/137.04224	0	76068	80465	75354	79385	74849	79414	64609	74277	81786	69802	78088	80881	0
3.660/137.04249	0	1062	908	543	588	687	879	622	741	636	722	845	913	0
0.573/137.09433	0	785	939	1768	949	1207	795	1207	1326	1239	1257	854	1276	0
4.737/137.10197	0	15896	18049	17940	15716	17959	16367	17262	20871	14901	19922	16386	16692	0
1.119/137.10587	0	585	336	1060	662	596	634	600	536	888	813	712	426	0
0.735/137.10622	0	81346	48538	66843	67749	39030	62379	33034	46660	68714	40410	55156	44374	0
2.931/137.63036	0	9486	9920	10021	9428	9913	10230	10700	10886	9670	10149	8809	8229	0
4.274/138.02180	0	76644	75295	59057	50278	80808	58828	77962	52849	55741	65130	61243	64212	0
4.420/138.05308	0	11008	9057	11193	14439	13618	12857	13506	6625	16031	12985	12645	14521	0
5.218/138.05347	0	3147	2451	4025	4281	4092	3685	6692	1492	3696	2942	3121	3402	0
4.936/138.05369	0	5130	6435	7641	10635	11186	9766	8961	5591	9035	10675	9748	9246	0
5.825/138.05377	0	6499	5987	8017	8779	8332	12416	7582	5775	9438	8036	11547	11461	0
3.661/138.05430	0	56462	60271	40532	41288	78728	50301	64415	41580	40650	66198	41425	48642	0
2.929/138.05451	0	2351505	2308598	2418147	1922562	2466003	2382296	2230009	2265753	2070601	2377091	2137269	1946793	0
0.652/138.12692	0	2234	1297	2358	1928	1374	2373	1687	624	2723	1981	2750	1601	0
5.485/138.97098	0	1997	1860	1923	1712	1679	1929	1666	1811	1856	1899	1642	1817	0
0.562/139.07405	0	739	984	1005	866	1016	714	784	802	954	738	784	1123	0
4.436/139.08486	0	1637	1225	1818	1645	1141	1723	1173	915	1311	1080	1920	1622	0
4.744/139.09695	0	4782	4458	724	6753	458	4290	442	8286	597	667	6266	2976	0
3.660/139.91305	0	3904	4833	1726	1824	4277	2110	3515	2641	1118	3660	1575	1666	0
4.277/140.01662	0	2062	2306	2255	1912	2536	2349	2576	1817	2339	2518	2224	2278	0
2.906/140.06033	0	9902	10510	10042	10711	10917	9082	8828	10185	11170	9840	9311	9402	0
2.585/140.06655	0	8872	8318	7795	7478	8960	9259	8463	8576	8758	8884	9009	6809	0
1.285/140.06863	0	3900	2604	3512	3973	2136	2638	2353	2899	2857	2557	3953	3110	0
0.801/140.10679	0	1575	1389	1293	1746	1816	1331	1342	1787	1356	1659	1568	1020	0
4.439/140.11670	0	9781	8479	10233	8706	6578	11582	8236	6545	8556	5856	10843	9539	0
2.369/140.99307	0	0	0	0	0	2427	1834	1076	0	0	1128	1774	744	0
2.238/140.99365	0	390	391	1184	115	900	1394	1026	31	1406	656	660	1282	0
1.068/141.06447	0	2116	2535	3280	4424	2051	1763	1817	4008	4186	1265	2653	1960	0
4.377/141.13517	0	1447	1033	1315	1269	1129	1239	946	951	1277	240	1761	1668	0
1.499/142.09656	0	1183	1211	1360	1355	721	1126	1444	614	1185	1079	1324	1321	0
4.914/142.09682	0	15919	26428	42148	57473	18851	25109	15560	27600	30482	21629	26450	25817	0
4.393/142.12098	0	0	0	40	178	555	488	920	0	81	677	700	558	0
4.510/142.13448	0	856	2451	1217	830	1091	761	709	1759	184	536	1036	491	0
0.760/142.15756	0	519	1023	3095	682	1137	511	919	2995	707	214	1062	2324	0
2.308/143.02531	0	1598	2994	2377	2302	2623	597	1213	3330	3471	1155	1294	1806	0
1.292/143.02599	0	213	6593	1022	1681	2081	0	336	17372	1435	356	0	0	0
