Sample	True.blank.start	Single.blank	QC.1	AC9.3_I	AC9.3_II	AC9.1_II	AC9.1_III	pPTGE30_I	AC9.2_I	pPTGE30_II	AC9.3_III	AC9.1_I	pPTGE30_III	AC9.2_III	AC9.2_II	QC.2	True.blank.end
Label	BLANK	BLANK	QC	AC9.3	AC9.3	AC9.1	AC9.1	pPTGE30	AC9.2	pPTGE30	AC9.3	AC9.1	pPTGE30	AC9.2	AC9.2	QC	BLANK
6.018/131.08177	0	0	699	1246	865	612	550	280	532	559	684	516	344	255	412	521	0	0
2.124/131.08295	0	0	1750	2044	2522	2541	2612	2035	1225	1609	2687	2937	1999	1848	1797	2482	0	0
0.994/131.08311	0	0	3082	2885	2597	2326	2361	2292	1911	1775	3059	2444	1766	1724	1948	2397	0	0
0.619/131.99120	0	0	1031	847	1115	1472	1555	723	1089	695	781	1835	443	1136	1370	1208	0	0
1.310/132.02959	0	0	1932	1320	821	2654	1501	1912	2287	1933	571	2605	1823	1458	1946	1610	0	0
0.802/132.02994	0	0	4767	3981	2009	6272	5578	4102	5228	3912	1551	5501	4823	3972	5396	3788	0	0
6.027/132.02995	0	0	261	220	153	474	351	410	818	794	246	1470	798	852	906	650	0	0
0.557/132.02998	0	0	16733	12124	9136	16667	17218	14292	16373	12642	7892	20035	15622	13469	14023	14764	0	0
0.460/132.03046	0	0	12754	8875	6513	13220	11066	7929	14516	7134	9900	13194	8396	15213	12772	14567	0	0
0.556/132.94465	86	36	931	1207	1006	628	784	1007	780	1275	1104	977	1819	1289	815	1081	64	61.9791666666667
0.460/133.01411	0	0	13360	18383	12932	9015	13481	6870	13492	8287	17190	10558	6576	14074	15484	14054	0	0
0.726/134.04668	0	62	9568	13900	12218	8461	6404	6513	9228	9751	8731	9178	11077	10758	8844	9112	0	20.8333333333333
0.607/134.04736	0	171	10418	13880	10747	12627	10772	8564	10745	10573	8694	12076	9294	9539	10664	9111	0	56.9166666666667
2.345/134.04746	0	0	13162	13659	14445	14180	15460	15325	12323	17417	16107	17440	12070	12878	12392	15142	0	0
1.345/134.04761	0	0	32720	31215	26012	32790	35582	32440	33883	37808	21963	39574	37837	36175	29396	31166	0	0
2.164/134.04775	77	237	26735	27257	24053	23746	39865	18608	28397	20332	36313	24246	17703	23725	29658	30411	66	127.104166666667
0.552/135.02952	0	188	11062	8594	13024	12595	19424	13918	7812	11508	25041	13729	7543	12182	11456	11705	0	62.6875
0.460/135.02997	0	188	27191	19129	14501	24247	19482	20088	20180	22066	18238	24899	21421	27744	27552	22330	0	62.6875
1.262/135.03127	0	0	18354	14622	15770	18113	20468	14862	15744	13399	18800	15985	16532	16681	17449	17970	0	0
2.205/135.04538	46	66	4457	1183	1549	5068	4942	3354	206	5234	1565	4924	4386	1142	3263	2105	0	37.3333333333333
0.702/135.04895	0	0	9749	7463	6722	11408	10286	6214	8253	8380	6157	9073	7473	8117	7869	7875	0	0
0.813/135.99752	0	0	4617	2737	5749	4442	6096	5040	1452	2946	7149	7855	2661	2951	4205	4839	0	0
2.143/135.99775	0	0	201	0	1828	144	157	264	0	0	3865	155	0	0	0	119	0	0
0.552/136.99161	0	0	15692	16543	13252	15397	17007	15597	19170	17588	11315	19249	18005	19391	17057	14851	0	0
1.594/137.02441	0	0	379	1082	634	249	383	250	228	357	559	350	203	123	378	368	0	0
2.686/138.01940	61	92	2277	1933	3176	1954	3599	2859	2150	2362	3154	2254	2044	2087	1781	2402	80	77.6666666666667
1.071/138.05638	0	0	2221	2379	1099	2679	2365	1761	2521	2483	980	2336	2003	2373	2621	2571	0	0
1.496/138.06762	0	0	741	896	1497	0	1547	34	945	0	1733	0	0	1407	715	488	0	0
1.344/138.06827	0	0	882	717	1072	1284	1151	837	100	32	789	932	540	93	828	882	0	0
0.729/139.04982	0	0	1469	1108	852	1045	1318	1516	1261	968	1028	1290	584	886	1694	1348	0	0
0.695/141.01715	1376	1854	15058	15880	23913	13471	16262	16279	13161	14919	17668	12028	11561	10298	11019	15163	1218	1482.79166666667
0.579/141.01717	1159	2061	24709	28752	37968	23467	22947	26027	25283	28296	40713	22710	28290	25378	24243	24992	1078	1432.83333333333
